pmid	doi	publisher_family	followup_status	journal	title
18603686	10.4103/0377-4929.41691	Unclassified	abstract_only_with_html_candidate	Indian journal of pathology & microbiology	Sequence analysis of bla CTX-M-28 , an ESBL responsible for third-generation cephalosporin resistance in Enterobacteriaceae, for the first time in India.
18614524	10.1093/jac/dkn280	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Analysis of tetracycline resistance tet(W) genes and their flanking sequences in intestinal Bifidobacterium species.
18653970		Unclassified	abstract_only_no_fulltext_candidate	Japanese journal of infectious diseases	Molecular characterization of extended-spectrum beta-lactamases produced by clinical isolates of Enterobacter cloacae from a Teaching Hospital in China.
18765689	10.1128/AAC.01121-08	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Carbapenem-resistant Acinetobacter baumannii isolates expressing the blaOXA-23 gene associated with ISAba4 in Belgium.
18772941	10.1139/w08-059	Unclassified	abstract_only_with_pdf_candidate	Canadian journal of microbiology	Prevalence of rectal carriage of extended-spectrum beta-lactamase-producing Escherichia coli among elderly people in community settings in China.
18812424	10.1093/jac/dkn397	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Complete nucleotide sequence of pKP96, a 67 850 bp multiresistance plasmid encoding qnrA1, aac(6')-Ib-cr and blaCTX-M-24 from Klebsiella pneumoniae.
18819973	10.1093/jac/dkn400	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of Pseudomonas aeruginosa isolates producing VEB-type extended-spectrum beta-lactamases in the United Kingdom.
18843996		Unclassified	abstract_only_no_fulltext_candidate	Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi	[Analysis on 168 rRNA methylase genes and aminoglycoside modifying enzymes genes in Enterobacter cloacae in China].
18952616	10.1093/jac/dkn432	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Unusual resistance patterns in macrolide-resistant Streptococcus pyogenes harbouring erm(A).
18957398	10.1093/jac/dkn434	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence and widespread dissemination of OXA-23, -24/40 and -58 carbapenemases among Acinetobacter spp. in Asia-Pacific nations: report from the SENTRY Surveillance Program.
18971216	10.1093/jac/dkn445	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Escherichia coli of animal origin in Norway contains a blaTEM-20-carrying plasmid closely related to blaTEM-20 and blaTEM-52 plasmids from other European countries.
18984647	10.1093/jac/dkn452	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of Salmonella enterica isolates from infants and toddlers in Wuhan, China.
19008256	10.1093/jac/dkn474	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	dfrA27, a new integron-associated trimethoprim resistance gene from Escherichia coli.
19015330	10.1128/AAC.00999-08	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Codetection of blaOXA-23-like gene (blaOXA-133) and blaOXA-58 in Acinetobacter radioresistens: report from the SENTRY antimicrobial surveillance program.
19049645	10.1111/j.1574-695X.2008.00483.x	Wiley	abstract_only_with_pdf_candidate	FEMS immunology and medical microbiology	Identification of PER-1 extended-spectrum beta-lactamase producing Pseudomonas aeruginosa clinical isolates of the international clonal complex CC11 from Hungary and Serbia.
19055690	10.1111/j.1462-2920.2008.01819.x	Wiley	abstract_only_with_pdf_candidate	Environmental microbiology	Spreading antibiotic resistance through spread manure: characteristics of a novel plasmid type with low %G+C content.
19056747	10.1093/jac/dkn492	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of qnr genes in Salmonella isolated from humans in Denmark.
19095681	10.1093/jac/dkn512	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence and persistence of integron structures harbouring VIM genes in the Children's Memorial Health Institute, Warsaw, Poland, 1998-2006.
19121669	10.1016/S0035-9203(08)70025-7	OUP	abstract_only_with_pdf_candidate	Transactions of the Royal Society of Tropical Medicine and Hygiene	High-level resistance to fluoroquinolones and cephalosporins in Burkholderia pseudomallei and closely related species.
19131424	10.1093/jac/dkn523	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of a novel macrolide efflux gene, mef(B), found linked to sul3 in porcine Escherichia coli.
19146537	10.1111/j.1472-765X.2008.02438.x	Wiley	abstract_only_with_pdf_candidate	Letters in applied microbiology	Modified nitrocefin-EDTA method to differentially quantify the induced L1 and L2 beta-lactamases in Stenotrophomonas maltophilia.
19172061		Unclassified	abstract_only_no_fulltext_candidate	Indian journal of medical microbiology	SHV-28, an extended-spectrum beta-lactamase produced by a clinical isolate of Klebsiella pneumoniae in south India.
19201742		Unclassified	abstract_only_no_fulltext_candidate	Annals of clinical and laboratory science	Accumulation of plasmid-mediated fluoroquinolone resistance genes, qepA and qnrS1, in Enterobacter aerogenes co-producing RmtB and class A beta-lactamase LAP-1.
19216682	10.1089/mdr.2009.0856	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Genetic diversity of the low-level vancomycin resistance gene vanC-2/vanC-3 and identification of a novel vanC subtype (vanC-4) in Enterococcus casseliflavus.
19223304	10.1093/jac/dkp032	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Molecular epidemiology of carbapenem-resistant Acinetobacter baumannii strains in intensive care units of multiple Mediterranean hospitals.
19243438	10.1111/j.1574-6941.2009.00655.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology ecology	Occurrence of antibiotic resistance and class 1, 2 and 3 integrons in Escherichia coli isolated from a densely populated estuary (Seine, France).
19270313	10.1093/jac/dkp061	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of bla(IMP-22) in Pseudomonas spp. in urban wastewater and nosocomial environments: biochemical characterization of a new IMP metallo-enzyme variant and its genetic location.
19297379	10.1093/jac/dkp068	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel CTX-M {beta}-lactamase genotype distribution and spread into multiple species of Enterobacteriaceae in Changsha, Southern China.
19388830	10.1089/fpd.2008.0204	SAGE	abstract_only_with_pdf_candidate	Foodborne pathogens and disease	Molecular characterization of tetracycline-resistant genes and integrons from avirulent strains of Escherichia coli isolated from catfish.
19414570	10.1128/AAC.01586-08	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	CMY-29 and CMY-30, two novel plasmid-mediated AmpC beta-lactamases.
19459951	10.1111/j.1574-6968.2009.01646.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	Evidence for dynamic exchange of qac gene cassettes between class 1 integrons and other integrons in freshwater biofilms.
19459958	10.1111/j.1574-6968.2009.01633.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	A chromosomal chloramphenicol acetyltransferase determinant from a probiotic strain of Bacillus clausii.
19538087	10.1086/600301	OUP	abstract_only_with_pdf_candidate	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Global spread of mobile antimicrobial drug resistance determinants in human and animal Escherichia coli and Salmonella strains causing community-acquired infections.
19567349	10.1179/joc.2009.21.3.290	Unclassified	abstract_only_with_pdf_candidate	Journal of chemotherapy (Florence, Italy)	Acinetobacter baumannii: emergence of four strains with novel bla(OXA-51-like) genes in patients with diabetes mellitus.
19663916	10.1111/j.1574-6968.2009.01720.x	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	A single amino acid substitution in PmrB is associated with polymyxin B resistance in clinical isolate of Pseudomonas aeruginosa.
19687235	10.1128/AAC.00547-09	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	TEM-168, a heretofore laboratory-derived TEM beta-lactamase variant found in an Escherichia coli clinical isolate.
19704128	10.1128/AAC.00540-09	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Presence of dfr6 gene cassette in superintegron of non-O1/non-O139 strain of Vibrio cholerae.
19719593	10.1016/S0168-6496(03)00164-8	OUP	abstract_only_with_pdf_candidate	FEMS microbiology ecology	Occurrence of integron-associated resistance gene cassettes located on antibiotic resistance plasmids isolated from a wastewater treatment plant.
19728777	10.1089/mdr.2009.0900	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Characterization of a novel extended-spectrum TEM-type beta-lactamase, TEM-164, in a clinical strain of Klebsiella pneumoniae in Tunisia.
19785534	10.1089/fpd.2009.0382	SAGE	abstract_only_with_pdf_candidate	Foodborne pathogens and disease	Characterization of the first extended-spectrum beta-lactamase-producing nontyphoidal Salmonella strains isolated in Tehran, Iran.
19933042	10.1179/joc.2009.21.5.514	Unclassified	abstract_only_with_pdf_candidate	Journal of chemotherapy (Florence, Italy)	First identification of blaOXA-51-like in non-baumannii Acinetobacter spp.
